CPUTime(ms),GPUTime(ms),FrameTime(ms)
47.3068,7.89128,20.6457
47.3037,7.89048,20.6758
47.2559,7.95869,20.632
47.2684,7.95146,20.6922
47.32,8.00173,20.6742
47.2752,8.05874,20.6373
47.2522,8.06728,20.6882
47.3184,8.13999,20.6504
47.3424,8.15069,20.6543
47.3494,8.1929,20.6518
47.3509,8.19563,20.6407
47.3765,8.15563,20.6579
47.4961,8.15939,20.6099
47.4959,8.27965,20.5416
47.559,8.28467,20.5884
47.5978,8.3329,20.5378
47.667,8.37114,20.519
47.6821,8.43512,20.4724
47.7498,8.4421,20.5332
47.7849,8.46162,20.4867
47.8013,8.48247,20.4565
47.7965,8.56008,20.4224
47.7808,8.52943,20.4537
47.7494,8.52875,20.4557
47.7149,8.60495,20.4478
47.6401,8.60688,20.4959
47.6278,8.6104,20.5438
47.6225,8.66527,20.5006
